product	product_lc
Permease of the drug/metabolite transporter (DMT) superfamily	permease of the drug/metabolite transporter (dmt) superfamily
YoeB toxin protein	yoeb toxin protein
YefM protein (antitoxin to YoeB)	yefm protein (antitoxin to yoeb)
LSU ribosomal protein L36p	lsu ribosomal protein l36p
LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	lsu ribosomal protein l31p @ lsu ribosomal protein l31p, zinc-independent
SSU ribosomal protein S14p (S29e)	ssu ribosomal protein s14p (s29e)
LSU ribosomal protein L33p	lsu ribosomal protein l33p
LSU ribosomal protein L28p	lsu ribosomal protein l28p
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3-oxoacyl-[acyl-carrier protein] reductase (ec 1.1.1.100)
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	fructose-bisphosphate aldolase class ii (ec 4.1.2.13)
Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)	peptidoglycan n-acetylglucosamine deacetylase (ec 3.5.1.-)
Adenylosuccinate synthetase (EC 6.3.4.4)	adenylosuccinate synthetase (ec 6.3.4.4)
CrcB protein	crcb protein
Chloride channel protein	chloride channel protein
High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	high-affinity branched-chain amino acid transport system permease protein livh (tc 3.a.1.4.1)
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	branched-chain amino acid transport system permease protein livm (tc 3.a.1.4.1)
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	branched-chain amino acid transport atp-binding protein livg (tc 3.a.1.4.1)
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	branched-chain amino acid transport atp-binding protein livf (tc 3.a.1.4.1)
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	branched-chain amino acid abc transporter, amino acid-binding protein (tc 3.a.1.4.1)
Sucrose operon repressor ScrR, LacI family	sucrose operon repressor scrr, laci family
Sucrose phosphorylase (EC 2.4.1.7)	sucrose phosphorylase (ec 2.4.1.7)
transmembrane transport protein possibly for shikimate	transmembrane transport protein possibly for shikimate
Ketol-acid reductoisomerase (EC 1.1.1.86)	ketol-acid reductoisomerase (ec 1.1.1.86)
sialic acid-specific 9-O-acetylesterase	sialic acid-specific 9-o-acetylesterase
Transcriptional regulator, LacI family	transcriptional regulator, laci family
ABC-type multidrug transport system, ATPase component	abc-type multidrug transport system, atpase component
Aromatic amino acid transport protein AroP	aromatic amino acid transport protein arop
LacI-type transcriptional regulator	laci-type transcriptional regulator
Alpha-glucosidase (EC 3.2.1.20)	alpha-glucosidase (ec 3.2.1.20)
Sortase A, LPXTG specific	sortase a, lpxtg specific
amino acid permease	amino acid permease
Thiazole biosynthesis protein ThiG	thiazole biosynthesis protein thig
Sulfur carrier protein adenylyltransferase ThiF	sulfur carrier protein adenylyltransferase thif
Sulfur carrier protein ThiS	sulfur carrier protein this
putative O-acyltransferase	putative o-acyltransferase
Phenazine biosynthesis protein PhzB	phenazine biosynthesis protein phzb
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
Permeases of the major facilitator superfamily	permeases of the major facilitator superfamily
Oxidoreductase (EC 1.1.1.-)	oxidoreductase (ec 1.1.1.-)
transcriptional regulator	transcriptional regulator
Transcriptional regulator, MarR family	transcriptional regulator, marr family
Lipid A export ATP-binding/permease protein MsbA	lipid a export atp-binding/permease protein msba
probable permease protein of ABC transporter system	probable permease protein of abc transporter system
Cys-tRNA(Pro) deacylase YbaK	cys-trna(pro) deacylase ybak
Type IV pilin PilA	type iv pilin pila
possible symporter	possible symporter
Transcriptional regulator, TetR family	transcriptional regulator, tetr family
FIG00425043: hypothetical protein	fig00425043: hypothetical protein
Phage infection protein	phage infection protein
FIG00425283: hypothetical protein	fig00425283: hypothetical protein
Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)	ribonucleotide reductase of class ib (aerobic), beta subunit (ec 1.17.4.1)
Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)	ribonucleotide reductase of class ib (aerobic), alpha subunit (ec 1.17.4.1)
Ribonucleotide reduction protein NrdI	ribonucleotide reduction protein nrdi
Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	glutaredoxin-like protein nrdh, required for reduction of ribonucleotide reductase class ib
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	6-phosphogluconate dehydrogenase, decarboxylating (ec 1.1.1.44)
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	6-phosphogluconolactonase (ec 3.1.1.31), eukaryotic type
OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial	opca, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	glucose-6-phosphate 1-dehydrogenase (ec 1.1.1.49)
5'-methylthioadenosine nucleosidase (EC 3.2.2.16) / S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	5'-methylthioadenosine nucleosidase (ec 3.2.2.16) / s-adenosylhomocysteine nucleosidase (ec 3.2.2.9)
Glutaredoxin and related proteins	glutaredoxin and related proteins
Amino acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine	amino acid abc transporter, permease protein, 3-tm region, his/glu/gln/arg/opine
putative amino acid ABC transporter, ATP-binding protein	putative amino acid abc transporter, atp-binding protein
dipeptidase	dipeptidase
Glycosyltransferase (EC 2.4.1.-)	glycosyltransferase (ec 2.4.1.-)
Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	signal recognition particle receptor protein ftsy (=alpha subunit) (tc 3.a.5.1.1)
Na(+)/H(+) antiporter	na(+)/h(+) antiporter
Ammonium transporter	ammonium transporter
Nitrogen regulatory protein P-II	nitrogen regulatory protein p-ii
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	[protein-pii] uridylyltransferase (ec 2.7.7.59)
Replicative DNA helicase (EC 3.6.1.-)	replicative dna helicase (ec 3.6.1.-)
proposed amino acid ligase found clustered with an amidotransferase	proposed amino acid ligase found clustered with an amidotransferase
Putative amidotransferase similar to cobyric acid synthase	putative amidotransferase similar to cobyric acid synthase
Ubiquinone biosynthesis monooxygenase UbiB	ubiquinone biosynthesis monooxygenase ubib
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	glycerophosphoryl diester phosphodiesterase (ec 3.1.4.46)
Uracil phosphoribosyltransferase (EC 2.4.2.9)	uracil phosphoribosyltransferase (ec 2.4.2.9)
FIG00424069: hypothetical protein	fig00424069: hypothetical protein
probable MutT1 protein	probable mutt1 protein
Polyphosphate kinase (EC 2.7.4.1)	polyphosphate kinase (ec 2.7.4.1)
DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	dna polymerase iii subunits gamma and tau (ec 2.7.7.7)
Recombination protein RecR	recombination protein recr
Aspartokinase (EC 2.7.2.4)	aspartokinase (ec 2.7.2.4)
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	aspartate-semialdehyde dehydrogenase (ec 1.2.1.11)
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	ribose-phosphate pyrophosphokinase (ec 2.7.6.1)
SSU ribosomal protein S6p	ssu ribosomal protein s6p
Single-stranded DNA-binding protein	single-stranded dna-binding protein
SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent	ssu ribosomal protein s18p @ ssu ribosomal protein s18p, zinc-independent
LSU ribosomal protein L9p	lsu ribosomal protein l9p
phosphoesterase, PA-phosphatase related	phosphoesterase, pa-phosphatase related
DNA topoisomerase I (EC 5.99.1.2)	dna topoisomerase i (ec 5.99.1.2)
Thymidylate kinase (EC 2.7.4.9)	thymidylate kinase (ec 2.7.4.9)
DNA polymerase III delta prime subunit (EC 2.7.7.7)	dna polymerase iii delta prime subunit (ec 2.7.7.7)
Galactose operon repressor, GalR-LacI family of transcriptional regulators	galactose operon repressor, galr-laci family of transcriptional regulators
Phosphotransferase system, phosphocarrier protein HPr	phosphotransferase system, phosphocarrier protein hpr
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	phosphoenolpyruvate-protein phosphotransferase of pts system (ec 2.7.3.9)
Phospholipid-binding protein	phospholipid-binding protein
putative dipeptidase	putative dipeptidase
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	formate--tetrahydrofolate ligase (ec 6.3.4.3)
Twitching motility protein PilT	twitching motility protein pilt
FIG00671964: hypothetical protein	fig00671964: hypothetical protein
narrowly conserved hypothetical membrane protein	narrowly conserved hypothetical membrane protein
ABC transporter, permease protein	abc transporter, permease protein
Hypothetical, related to broad specificity phosphatases COG0406	hypothetical, related to broad specificity phosphatases cog0406
Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	glutamyl-trna synthetase (ec 6.1.1.17) @ glutamyl-trna(gln) synthetase (ec 6.1.1.24)
FIG00672316: hypothetical protein	fig00672316: hypothetical protein
Transcriptional regulator, IclR family	transcriptional regulator, iclr family
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	3-isopropylmalate dehydratase large subunit (ec 4.2.1.33)
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	3-isopropylmalate dehydratase small subunit (ec 4.2.1.33)
Dihydroorotate dehydrogenase (EC 1.3.3.1)	dihydroorotate dehydrogenase (ec 1.3.3.1)
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	udp-n-acetylglucosamine 1-carboxyvinyltransferase (ec 2.5.1.7)
Hydrolase (HAD superfamily)	hydrolase (had superfamily)
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	1-acyl-sn-glycerol-3-phosphate acyltransferase (ec 2.3.1.51)
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	glycerol-3-phosphate dehydrogenase [nad(p)+] (ec 1.1.1.94)
D-alanine--D-alanine ligase (EC 6.3.2.4)	d-alanine--d-alanine ligase (ec 6.3.2.4)
FIG00672090: hypothetical protein	fig00672090: hypothetical protein
Aspartate ammonia-lyase (EC 4.3.1.1)	aspartate ammonia-lyase (ec 4.3.1.1)
FIG00534652: hypothetical protein	fig00534652: hypothetical protein
probable PfkB family carbohydrate (sugar) kinase	probable pfkb family carbohydrate (sugar) kinase
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	atp-dependent dna helicase recg (ec 3.6.1.-)
Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)	ribosomal rna small subunit methyltransferase d (ec 2.1.1.-)
Nitroreductase family protein	nitroreductase family protein
tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	trna (guanine37-n1) -methyltransferase (ec 2.1.1.31)
16S rRNA processing protein RimM	16s rrna processing protein rimm
KH domain RNA binding protein YlqC	kh domain rna binding protein ylqc
SSU ribosomal protein S16p	ssu ribosomal protein s16p
FIG00424144: hypothetical protein	fig00424144: hypothetical protein
Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	signal recognition particle, subunit ffh srp54 (tc 3.a.5.1.1)
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	cysteinyl-trna synthetase (ec 6.1.1.16)
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	gmp synthase [glutamine-hydrolyzing] (ec 6.3.5.2)
COG0488: ATPase components of ABC transporters with duplicated ATPase domains	cog0488: atpase components of abc transporters with duplicated atpase domains
Acetolactate synthase small subunit (EC 2.2.1.6)	acetolactate synthase small subunit (ec 2.2.1.6)
Acetolactate synthase large subunit (EC 2.2.1.6)	acetolactate synthase large subunit (ec 2.2.1.6)
Ribonuclease III (EC 3.1.26.3)	ribonuclease iii (ec 3.1.26.3)
LSU ribosomal protein L32p	lsu ribosomal protein l32p
COG1399 protein, clustered with ribosomal protein L32p	cog1399 protein, clustered with ribosomal protein l32p
Cell division initiation protein	cell division initiation protein
Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	phosphopantetheine adenylyltransferase (ec 2.7.7.3)
FIG00423807: hypothetical protein	fig00423807: hypothetical protein
Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	nicotinate phosphoribosyltransferase (ec 2.4.2.11)
Ribonuclease PH (EC 2.7.7.56)	ribonuclease ph (ec 2.7.7.56)
Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	nucleoside 5-triphosphatase rdgb (dhaptp, ditp, xtp-specific) (ec 3.6.1.15)
Transporter	transporter
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	mannose-1-phosphate guanylyltransferase (gdp) (ec 2.7.7.22)
Glucose-6-phosphate isomerase (EC 5.3.1.9)	glucose-6-phosphate isomerase (ec 5.3.1.9)
LSU ribosomal protein L19p	lsu ribosomal protein l19p
Cell wall surface anchor family protein	cell wall surface anchor family protein
Signal peptidase I (EC 3.4.21.89)	signal peptidase i (ec 3.4.21.89)
Ribonuclease HII (EC 3.1.26.4)	ribonuclease hii (ec 3.1.26.4)
Transport ATP-binding protein CydCD	transport atp-binding protein cydcd
putative oxidoreductase	putative oxidoreductase
aminotransferase class-III protein	aminotransferase class-iii protein
putative secreted protein	putative secreted protein
Manganese transport protein MntH	manganese transport protein mnth
COG0477: Permeases of the major facilitator superfamily	cog0477: permeases of the major facilitator superfamily
Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	undecaprenyl-phosphate galactosephosphotransferase (ec 2.7.8.6)
Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	low molecular weight protein-tyrosine-phosphatase wzb (ec 3.1.3.48)
Glycosyl transferase, group 2 family protein	glycosyl transferase, group 2 family protein
Glycosyltransferase( EC:2.4.1.- )	glycosyltransferase( ec:2.4.1.- )
"Glycosyltransferase "	"glycosyltransferase "
Mobile element protein	mobile element protein
insertion element conserved hypothetical protein	insertion element conserved hypothetical protein
nitroreductase	nitroreductase
Serine acetyltransferase (EC 2.3.1.30)	serine acetyltransferase (ec 2.3.1.30)
Siderophore biosynthesis diaminobutyrate--2-oxoglutarate aminotransferase (EC 2.6.1.76)	siderophore biosynthesis diaminobutyrate--2-oxoglutarate aminotransferase (ec 2.6.1.76)
AAA+ superfamily protein	aaa+ superfamily protein
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	dtdp-glucose 4,6-dehydratase (ec 4.2.1.46)
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	dtdp-4-dehydrorhamnose 3,5-epimerase (ec 5.1.3.13) / dtdp-4-dehydrorhamnose reductase (ec 1.1.1.133)
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	glucose-1-phosphate thymidylyltransferase (ec 2.7.7.24)
glycosyl transferase, family 2	glycosyl transferase, family 2
possible glycosyltransferase	possible glycosyltransferase
membrane protein, putative	membrane protein, putative
rhamnose-containing polysacharide translocation permease	rhamnose-containing polysacharide translocation permease
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	teichoic acid export atp-binding protein tagh (ec 3.6.3.40)
Glycosyl transferase, family 2	glycosyl transferase, family 2
Galactofuranosyl transferase (EC 2.-.-.-)	galactofuranosyl transferase (ec 2.-.-.-)
Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily	phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	tyrosine-protein kinase wzc (ec 2.7.10.2)
conserved hypothetical protein	conserved hypothetical protein
Choloylglycine hydrolase (EC 3.5.1.24)	choloylglycine hydrolase (ec 3.5.1.24)
FIG00672571: hypothetical protein	fig00672571: hypothetical protein
Thioredoxin	thioredoxin
ADP-ribose pyrophosphatase	adp-ribose pyrophosphatase
possible alpha beta hydrolase	possible alpha beta hydrolase
NADH pyrophosphatase (EC 3.6.1.22)	nadh pyrophosphatase (ec 3.6.1.22)
Glycine cleavage system H protein	glycine cleavage system h protein
narrowly conserved hypothetical protein	narrowly conserved hypothetical protein
Protease II (EC 3.4.21.83)	protease ii (ec 3.4.21.83)
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	3-isopropylmalate dehydrogenase (ec 1.1.1.85)
Lipoate-protein ligase A	lipoate-protein ligase a
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	camp-binding proteins - catabolite gene activator and regulatory subunit of camp-dependent protein kinases
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	multimodular transpeptidase-transglycosylase (ec 2.4.1.129) (ec 3.4.-.-)
probable NADH-dependent flavin oxidoreductase YqjM	probable nadh-dependent flavin oxidoreductase yqjm
FIG001454: Transglutaminase-like enzymes, putative cysteine proteases	fig001454: transglutaminase-like enzymes, putative cysteine proteases
FIG002343: hypothetical protein	fig002343: hypothetical protein
FIG022979: MoxR-like ATPases	fig022979: moxr-like atpases
Probable serine/threonine-protein kinase pknK (EC 2.7.11.1)	probable serine/threonine-protein kinase pknk (ec 2.7.11.1)
Glycosyltransferase	glycosyltransferase
probable DeoR-type transcriptional regulator	probable deor-type transcriptional regulator
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	galactose-1-phosphate uridylyltransferase (ec 2.7.7.10)
Galactokinase (EC 2.7.1.6)	galactokinase (ec 2.7.1.6)
ACT domain protein	act domain protein
FIG00848225: hypothetical protein	fig00848225: hypothetical protein
YtpG	ytpg
tRNA (cytidine(34)-2'-O)-methyltransferase // TrmL	trna (cytidine(34)-2'-o)-methyltransferase // trml
A/G-specific adenine glycosylase (EC 3.2.2.-)	a/g-specific adenine glycosylase (ec 3.2.2.-)
FIG00424299: hypothetical protein	fig00424299: hypothetical protein
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	dna-directed rna polymerase beta subunit (ec 2.7.7.6)
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	dna-directed rna polymerase beta' subunit (ec 2.7.7.6)
ATP-dependent DNA helicase SCO5183	atp-dependent dna helicase sco5183
ATP-dependent DNA helicase SCO5184	atp-dependent dna helicase sco5184
FIG00672402: hypothetical protein	fig00672402: hypothetical protein
possible transport protein	possible transport protein
Dihydrodipicolinate reductase (EC 1.3.1.26)	dihydrodipicolinate reductase (ec 1.3.1.26)
Dihydrodipicolinate synthase (EC 4.2.1.52)	dihydrodipicolinate synthase (ec 4.2.1.52)
Zn-dependent hydrolase, RNA-metabolising, CPSF 100 kDa analog	zn-dependent hydrolase, rna-metabolising, cpsf 100 kda analog
Membrane alanine aminopeptidase N (EC 3.4.11.2)	membrane alanine aminopeptidase n (ec 3.4.11.2)
Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (ec 2.6.1.19)
1,3 propanediol dehydrogenase	1,3 propanediol dehydrogenase
Cytidylate kinase (EC 2.7.4.14)	cytidylate kinase (ec 2.7.4.14)
Phosphoglucosamine mutase (EC 5.4.2.10)	phosphoglucosamine mutase (ec 5.4.2.10)
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	exodeoxyribonuclease vii small subunit (ec 3.1.11.6)
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	exodeoxyribonuclease vii large subunit (ec 3.1.11.6)
Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	ribonucleotide reductase of class iii (anaerobic), large subunit (ec 1.17.4.2)
Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	ribonucleotide reductase of class iii (anaerobic), activating protein (ec 1.97.1.4)
Hypothetical membrane spanning protein	hypothetical membrane spanning protein
Activator of (R)-2-hydroxyglutaryl-CoA dehydratase	activator of (r)-2-hydroxyglutaryl-coa dehydratase
Similar to Glutamate--cysteine ligase (EC 6.3.2.2)	similar to glutamate--cysteine ligase (ec 6.3.2.2)
Periplasmic beta-glucosidase (EC 3.2.1.21)	periplasmic beta-glucosidase (ec 3.2.1.21)
possible MarR-type transcriptional regulator	possible marr-type transcriptional regulator
ABC transporter, ATP-binding/permease protein	abc transporter, atp-binding/permease protein
Isoleucyl-tRNA synthetase (EC 6.1.1.5)	isoleucyl-trna synthetase (ec 6.1.1.5)
Ribosome protection-type tetracycline resistance related proteins, group 2	ribosome protection-type tetracycline resistance related proteins, group 2
POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN	possible conserved integral membrane protein
Putative ion-channel protein	putative ion-channel protein
Glycerate kinase (EC 2.7.1.31)	glycerate kinase (ec 2.7.1.31)
Cystathionine gamma-lyase (EC 4.4.1.1)	cystathionine gamma-lyase (ec 4.4.1.1)
S-adenosylmethionine synthetase (EC 2.5.1.6)	s-adenosylmethionine synthetase (ec 2.5.1.6)
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	o-acetylhomoserine sulfhydrylase (ec 2.5.1.49) / o-succinylhomoserine sulfhydrylase (ec 2.5.1.48)
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	abc-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components
Hydroxymethylpyrimidine ABC transporter, transmembrane component	hydroxymethylpyrimidine abc transporter, transmembrane component
Alkanesulfonates ABC transporter ATP-binding protein / Sulfonate ABC transporter, ATP-binding subunit SsuB	alkanesulfonates abc transporter atp-binding protein / sulfonate abc transporter, atp-binding subunit ssub
Methionine ABC transporter substrate-binding protein	methionine abc transporter substrate-binding protein
Methionine ABC transporter permease protein	methionine abc transporter permease protein
Methionine ABC transporter ATP-binding protein	methionine abc transporter atp-binding protein
Predicted amino-acid acetyltransferase complementing ArgA function in Arginine Biosynthesis pathway	predicted amino-acid acetyltransferase complementing arga function in arginine biosynthesis pathway
D-lactate dehydrogenase (EC 1.1.1.28)	d-lactate dehydrogenase (ec 1.1.1.28)
Aspartate aminotransferase (EC 2.6.1.1)	aspartate aminotransferase (ec 2.6.1.1)
"(R)-2-hydroxyacid dehydrogenase, similar to L- sulfolactate dehydrogenase "	"(r)-2-hydroxyacid dehydrogenase, similar to l- sulfolactate dehydrogenase "
