pathway_id	pathway_name	ec_number	ec_name	product
51	Fructose and mannose metabolism	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)
51	Fructose and mannose metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)
51	Fructose and mannose metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, mannose-specific IIB component (EC 2.7.1.69)
51	Fructose and mannose metabolism	5.3.1.1	Triose-phosphate isomerase	Triosephosphate isomerase (EC 5.3.1.1)
51	Fructose and mannose metabolism	5.3.1.5	Xylose isomerase	Xylose isomerase (EC 5.3.1.5)
52	Galactose metabolism	3.2.1.22	Alpha-galactosidase	Alpha-galactosidase (EC 3.2.1.22)
52	Galactose metabolism	3.2.1.20	Alpha-glucosidase	Alpha-glucosidase (EC 3.2.1.20)
52	Galactose metabolism	3.2.1.23	Beta-galactosidase	Beta-galactosidase (EC 3.2.1.23)
52	Galactose metabolism	2.7.1.6	Galactokinase	Galactokinase (EC 2.7.1.6)
52	Galactose metabolism	2.7.7.10	UTP--hexose-1-phosphate uridylyltransferase	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
52	Galactose metabolism	3.2.1.20	Alpha-glucosidase	Maltodextrin glucosidase (EC 3.2.1.20)
52	Galactose metabolism	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
52	Galactose metabolism	3.2.1.10	Oligo-1,6-glucosidase	Oligo-1,6-glucosidase (EC 3.2.1.10)
52	Galactose metabolism	5.4.2.2	Phosphoglucomutase	Phosphoglucomutase (EC 5.4.2.2)
52	Galactose metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)
52	Galactose metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, mannose-specific IIB component (EC 2.7.1.69)
52	Galactose metabolism	5.1.3.2	UDP-glucose 4-epimerase	UDP-glucose 4-epimerase (EC 5.1.3.2)
52	Galactose metabolism	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
53	Ascorbate and aldarate metabolism	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.	Glycogen debranching enzyme (EC 3.2.1.-)
53	Ascorbate and aldarate metabolism	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
53	Ascorbate and aldarate metabolism	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)
53	Ascorbate and aldarate metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)
53	Ascorbate and aldarate metabolism	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, mannose-specific IIB component (EC 2.7.1.69)
61	Fatty acid biosynthesis	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
61	Fatty acid biosynthesis	2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
61	Fatty acid biosynthesis	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
61	Fatty acid biosynthesis	2.3.1.41	Beta-ketoacyl-[acyl-carrier-protein] synthase I	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
61	Fatty acid biosynthesis	2.3.1.-	Transferring groups other than amino-acyl groups.	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
61	Fatty acid biosynthesis	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
61	Fatty acid biosynthesis	6.4.1.2	Acetyl-CoA carboxylase	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)
61	Fatty acid biosynthesis	2.3.1.-	Transferring groups other than amino-acyl groups.	Acetyltransferase (EC 2.3.1.-)
61	Fatty acid biosynthesis	6.3.4.14	Biotin carboxylase	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase
61	Fatty acid biosynthesis	2.3.1.-	Transferring groups other than amino-acyl groups.	Phosphinothricin N-acetyltransferase (EC 2.3.1.-)
61	Fatty acid biosynthesis	2.3.1.-	Transferring groups other than amino-acyl groups.	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)
61	Fatty acid biosynthesis	4.2.1.-	Hydro-lyases.	tRNA pseudouridine 13 synthase (EC 4.2.1.-)
62	Fatty acid elongation in mitochondria	2.3.1.16	Acetyl-CoA C-acyltransferase	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
71	Fatty acid metabolism	2.3.1.9	Acetyl-CoA C-acetyltransferase	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
71	Fatty acid metabolism	2.3.1.16	Acetyl-CoA C-acyltransferase	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
71	Fatty acid metabolism	1.1.1.1	Alcohol dehydrogenase	Alcohol dehydrogenase (EC 1.1.1.1)
71	Fatty acid metabolism	1.1.1.1	Alcohol dehydrogenase	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
71	Fatty acid metabolism	6.2.1.3	Long-chain-fatty-acid--CoA ligase	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
72	Synthesis and degradation of ketone bodies	2.3.1.9	Acetyl-CoA C-acetyltransferase	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
72	Synthesis and degradation of ketone bodies	2.3.3.10	Hydroxymethylglutaryl-CoA synthase	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)
120	Primary bile acid biosynthesis	3.5.1.24	Choloylglycine hydrolase	Choloylglycine hydrolase (EC 3.5.1.24)
121	Secondary bile acid biosynthesis	3.5.1.24	Choloylglycine hydrolase	Choloylglycine hydrolase (EC 3.5.1.24)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.5.1.74	1,4-dihydroxy-2-naphthoate polyprenyltransferase	1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.1.1.-	Methyltransferases.	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.1.1.-	Methyltransferases.	Dimethyladenosine transferase (EC 2.1.1.-)
130	Ubiquinone and other terpenoid-quinone biosynthesis	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.	Glycogen debranching enzyme (EC 3.2.1.-)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups.	Octaprenyl-diphosphate synthase (EC 2.5.1.-) / Dimethylallyltransferase (EC 2.5.1.1) / Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10) / Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.1.1.-	Methyltransferases.	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.1.1.-	Methyltransferases.	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
130	Ubiquinone and other terpenoid-quinone biosynthesis	2.1.1.-	Methyltransferases.	tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)
140	C21-Steroid hormone metabolism	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase A chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase alpha chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase B chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase beta chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase C chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase epsilon chain (EC 3.6.3.14)
190	Oxidative phosphorylation	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase gamma chain (EC 3.6.3.14)
190	Oxidative phosphorylation	1.9.3.1	Cytochrome-c oxidase	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)
190	Oxidative phosphorylation	1.9.3.1	Cytochrome-c oxidase	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
190	Oxidative phosphorylation	3.6.1.1	Inorganic diphosphatase	Inorganic pyrophosphatase (EC 3.6.1.1)
190	Oxidative phosphorylation	2.7.4.1	Polyphosphate kinase	Polyphosphate kinase (EC 2.7.4.1)
190	Oxidative phosphorylation	1.3.99.1	Succinate dehydrogenase	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
190	Oxidative phosphorylation	1.3.99.1	Succinate dehydrogenase	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase A chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase alpha chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase B chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase beta chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase C chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase epsilon chain (EC 3.6.3.14)
195	Photosynthesis	3.6.3.14	H(+)-transporting two-sector ATPase	ATP synthase gamma chain (EC 3.6.3.14)
195	Photosynthesis	1.18.1.2	Ferredoxin--NADP(+) reductase	Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)
230	Purine metabolism	2.4.2.7	Adenine phosphoribosyltransferase	Adenine phosphoribosyltransferase (EC 2.4.2.7)
230	Purine metabolism	4.6.1.1	Adenylate cyclase	Adenylate cyclase (EC 4.6.1.1)
230	Purine metabolism	2.7.4.3	Adenylate kinase	Adenylate kinase (EC 2.7.4.3)
230	Purine metabolism	4.3.2.2	Adenylosuccinate lyase	Adenylosuccinate lyase (EC 4.3.2.2)
230	Purine metabolism	6.3.4.4	Adenylosuccinate synthase	Adenylosuccinate synthetase (EC 6.3.4.4)
230	Purine metabolism	3.5.3.9	Allantoate deiminase	Allantoate amidohydrolase (EC 3.5.3.9)
230	Purine metabolism	3.5.2.5	Allantoinase	Allantoinase (EC 3.5.2.5)
230	Purine metabolism	2.4.2.14	Amidophosphoribosyltransferase	Amidophosphoribosyltransferase (EC 2.4.2.14)
230	Purine metabolism	3.6.1.-	In phosphorous-containing anhydrides.	ATP-dependent DNA helicase pcrA (EC 3.6.1.-)
230	Purine metabolism	3.6.1.-	In phosphorous-containing anhydrides.	ATP-dependent DNA helicase recG (EC 3.6.1.-)
230	Purine metabolism	3.6.1.-	In phosphorous-containing anhydrides.	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
230	Purine metabolism	3.1.5.1	dGTPase	Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase I (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase III alpha subunit (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase III beta subunit (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase III delta prime subunit (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase III delta subunit (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	DNA polymerase IV (EC 2.7.7.7)
230	Purine metabolism	2.7.7.6	DNA-directed RNA polymerase	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
230	Purine metabolism	2.7.7.6	DNA-directed RNA polymerase	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
230	Purine metabolism	2.7.7.6	DNA-directed RNA polymerase	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
230	Purine metabolism	2.7.7.6	DNA-directed RNA polymerase	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
230	Purine metabolism	3.6.1.11	Exopolyphosphatase	Exopolyphosphatase (EC 3.6.1.11)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	FIG006036: phage encoded DNA polymerase I (EC 2.7.7.7)
230	Purine metabolism	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)
230	Purine metabolism	2.7.6.5	GTP diphosphokinase	GTP pyrophosphokinase (EC 2.7.6.5)
230	Purine metabolism	2.7.6.5	GTP diphosphokinase	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
230	Purine metabolism	2.7.4.8	Guanylate kinase	Guanylate kinase (EC 2.7.4.8)
230	Purine metabolism	2.4.2.8	Hypoxanthine phosphoribosyltransferase	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
230	Purine metabolism	3.5.4.10	IMP cyclohydrolase	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
230	Purine metabolism	2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
230	Purine metabolism	1.1.1.205	IMP dehydrogenase	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
230	Purine metabolism	3.2.2.1	Purine nucleosidase	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
230	Purine metabolism	3.6.1.15	Nucleoside-triphosphatase	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
230	Purine metabolism	5.4.2.2	Phosphoglucomutase	Phosphoglucomutase (EC 5.4.2.2)
230	Purine metabolism	6.3.4.13	Phosphoribosylamine--glycine ligase	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
230	Purine metabolism	4.1.1.21	Phosphoribosylaminoimidazole carboxylase	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)
230	Purine metabolism	4.1.1.21	Phosphoribosylaminoimidazole carboxylase	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)
230	Purine metabolism	6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
230	Purine metabolism	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
230	Purine metabolism	6.3.5.3	Phosphoribosylformylglycinamidine synthase	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)
230	Purine metabolism	2.7.7.8	Polyribonucleotide nucleotidyltransferase	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)
230	Purine metabolism	2.4.2.-	Pentosyltransferases.	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)
230	Purine metabolism	2.4.2.-	Pentosyltransferases.	Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)
230	Purine metabolism	2.7.1.40	Pyruvate kinase	Pyruvate kinase (EC 2.7.1.40)
230	Purine metabolism	3.6.1.-	In phosphorous-containing anhydrides.	Replicative DNA helicase (EC 3.6.1.-)
230	Purine metabolism	2.7.7.7	DNA-directed DNA polymerase	Ribonuclease HI (EC 3.1.26.4) / DNA polymerase III epsilon subunit (EC 2.7.7.7)
230	Purine metabolism	1.17.4.1	Ribonucleoside-diphosphate reductase	Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)
230	Purine metabolism	1.17.4.1	Ribonucleoside-diphosphate reductase	Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)
230	Purine metabolism	1.17.4.2	Ribonucleoside-triphosphate reductase	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)
230	Purine metabolism	2.7.6.1	Ribose-phosphate diphosphokinase	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
230	Purine metabolism	2.4.2.22	Xanthine phosphoribosyltransferase	Xanthine phosphoribosyltransferase (EC 2.4.2.22)
231	Puromycin biosynthesis	2.-.-.-	Transferases.	dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)
231	Puromycin biosynthesis	2.-.-.-	Transferases.	Galactofuranosyl transferase (EC 2.-.-.-)
231	Puromycin biosynthesis	1.-.-.-	Oxidoreductases.	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
231	Puromycin biosynthesis	1.-.-.-	Oxidoreductases.	tRNA dihydrouridine synthase B (EC 1.-.-.-)
240	Pyrimidine metabolism	3.2.-.-	Glycosylases.	ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)
240	Pyrimidine metabolism	2.1.3.2	Aspartate carbamoyltransferase	Aspartate carbamoyltransferase (EC 2.1.3.2)
240	Pyrimidine metabolism	2.1.3.2	Aspartate carbamoyltransferase	Aspartate carbamoyltransferase (EC 2.1.3.2) / Aspartate carbamoyltransferase regulatory chain (PyrI)
240	Pyrimidine metabolism	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
