go_id	go_term	product
GO:0003916	DNA topoisomerase activity	Topoisomerase IV subunit A (EC 5.99.1.-)
GO:0003917	DNA topoisomerase type I activity	DNA topoisomerase I (EC 5.99.1.2)
GO:0003918	DNA topoisomerase (ATP-hydrolyzing) activity	DNA gyrase subunit A (EC 5.99.1.3)
GO:0003918	DNA topoisomerase (ATP-hydrolyzing) activity	DNA gyrase subunit B (EC 5.99.1.3)
GO:0003919	FMN adenylyltransferase activity	Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)
GO:0003937	IMP cyclohydrolase activity	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
GO:0003938	IMP dehydrogenase activity	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
GO:0003941	L-serine ammonia-lyase activity	L-serine dehydratase (EC 4.3.1.17)
GO:0003951	NAD+ kinase activity	NAD kinase (EC 2.7.1.23)
GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
GO:0003978	UDP-glucose 4-epimerase activity	UDP-glucose 4-epimerase (EC 5.1.3.2)
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
GO:0003985	acetyl-CoA C-acetyltransferase activity	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
GO:0003988	acetyl-CoA C-acyltransferase activity	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
GO:0003989	acetyl-CoA carboxylase activity	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)
GO:0003999	adenine phosphoribosyltransferase activity	Adenine phosphoribosyltransferase (EC 2.4.2.7)
GO:0004003	ATP-dependent DNA helicase activity	ATP-dependent DNA helicase pcrA (EC 3.6.1.-)
GO:0004013	adenosylhomocysteinase activity	Adenosylhomocysteinase (EC 3.3.1.1)
GO:0004016	adenylate cyclase activity	Adenylate cyclase (EC 4.6.1.1)
GO:0004017	adenylate kinase activity	Adenylate kinase (EC 2.7.4.3)
GO:0004018	adenylosuccinate lyase activity	Adenylosuccinate lyase (EC 4.3.2.2)
GO:0004019	adenylosuccinate synthase activity	Adenylosuccinate synthetase (EC 6.3.4.4)
GO:0004022	alcohol dehydrogenase activity	Alcohol dehydrogenase (EC 1.1.1.1)
GO:0004022	alcohol dehydrogenase activity	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
GO:0004038	allantoinase activity	Allantoinase (EC 3.5.2.5)
GO:0004044	amidophosphoribosyltransferase activity	Amidophosphoribosyltransferase (EC 2.4.2.14)
GO:0004045	aminoacyl-tRNA hydrolase activity	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
GO:0004055	argininosuccinate synthase activity	Argininosuccinate synthase (EC 6.3.4.5)
GO:0004056	argininosuccinate lyase activity	Argininosuccinate lyase (EC 4.3.2.1)
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
GO:0004069	aspartate transaminase activity	Aspartate aminotransferase (EC 2.6.1.1)
GO:0004070	aspartate carbamoyltransferase activity	Aspartate carbamoyltransferase (EC 2.1.3.2)
GO:0004070	aspartate carbamoyltransferase activity	Aspartate carbamoyltransferase (EC 2.1.3.2) / Aspartate carbamoyltransferase regulatory chain (PyrI)
GO:0004072	aspartate kinase activity	Aspartokinase (EC 2.7.2.4)
GO:0004073	aspartate-semialdehyde dehydrogenase activity	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
GO:0004075	biotin carboxylase activity	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity	Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor
GO:0004084	branched-chain-amino-acid transaminase activity	Branched-chain amino acid aminotransferase (EC 2.6.1.42)
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
GO:0004089	carbonate dehydratase activity	Carbonic anhydrase (EC 4.2.1.1)
GO:0004103	choline kinase activity	Cholinephosphate cytidylyltransferase (EC 2.7.7.15) / Choline kinase (EC 2.7.1.32)
GO:0004105	choline-phosphate cytidylyltransferase activity	Cholinephosphate cytidylyltransferase (EC 2.7.7.15) / Choline kinase (EC 2.7.1.32)
GO:0004106	chorismate mutase activity	Chorismate mutase I (EC 5.4.99.5)
GO:0004107	chorismate synthase activity	Chorismate synthase (EC 4.2.3.5)
GO:0004124	cysteine synthase activity	Cysteine synthase (EC 2.5.1.47)
GO:0004129	cytochrome-c oxidase activity	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)
GO:0004129	cytochrome-c oxidase activity	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
GO:0004129	cytochrome-c oxidase activity	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)
GO:0004134	4-alpha-glucanotransferase activity	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)
GO:0004139	deoxyribose-phosphate aldolase activity	Deoxyribose-phosphate aldolase (EC 4.1.2.4)
GO:0004140	dephospho-CoA kinase activity	Dephospho-CoA kinase (EC 2.7.1.24)
GO:0004146	dihydrofolate reductase activity	Dihydrofolate reductase (EC 1.5.1.3)
GO:0004151	dihydroorotase activity	Dihydroorotase (EC 3.5.2.3)
GO:0004156	dihydropteroate synthase activity	Dihydropteroate synthase (EC 2.5.1.15)
GO:0004158	dihydroorotate oxidase activity	Dihydroorotate dehydrogenase (EC 1.3.3.1)
GO:0004158	dihydroorotate oxidase activity	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)
GO:0004158	dihydroorotate oxidase activity	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)
GO:0004163	diphosphomevalonate decarboxylase activity	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
GO:0004170	dUTP diphosphatase activity	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)
GO:0004179	membrane alanyl aminopeptidase activity	Membrane alanine aminopeptidase N (EC 3.4.11.2)
GO:0004239	methionyl aminopeptidase activity	Methionine aminopeptidase (EC 3.4.11.18)
GO:0004308	exo-alpha-sialidase activity	Sialidase (EC 3.2.1.18)
GO:0004309	exopolyphosphatase activity	Exopolyphosphatase (EC 3.6.1.11)
GO:0004311	farnesyltranstransferase activity	Octaprenyl-diphosphate synthase (EC 2.5.1.-) / Dimethylallyltransferase (EC 2.5.1.1) / Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10) / Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase activity	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)
GO:0004322	ferroxidase activity	Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)
GO:0004326	tetrahydrofolylpolyglutamate synthase activity	Dihydrofolate synthase (EC 6.3.2.12) / Folylpolyglutamate synthase (EC 6.3.2.17)
GO:0004329	formate-tetrahydrofolate ligase activity	Formate--tetrahydrofolate ligase (EC 6.3.4.3)
GO:0004332	fructose-bisphosphate aldolase activity	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
GO:0004335	galactokinase activity	Galactokinase (EC 2.7.1.6)
GO:0004342	glucosamine-6-phosphate deaminase activity	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
GO:0004345	glucose-6-phosphate dehydrogenase activity	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
GO:0004347	glucose-6-phosphate isomerase activity	Glucose-6-phosphate isomerase (EC 5.3.1.9)
GO:0004349	glutamate 5-kinase activity	Glutamate 5-kinase (EC 2.7.2.11)
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
GO:0004356	glutamate-ammonia ligase activity	Glutamine synthetase type I (EC 6.3.1.2)
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
GO:0004385	guanylate kinase activity	Guanylate kinase (EC 2.7.4.8)
GO:0004386	helicase activity	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
GO:0004386	helicase activity	Excinuclease ABC subunit B
GO:0004386	helicase activity	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
GO:0004386	helicase activity	Transcription-repair coupling factor
GO:0004412	homoserine dehydrogenase activity	Homoserine dehydrogenase (EC 1.1.1.3)
GO:0004413	homoserine kinase activity	Homoserine kinase (EC 2.7.1.39)
GO:0004417	hydroxyethylthiazole kinase activity	Hydroxyethylthiazole kinase (EC 2.7.1.50)
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)
GO:0004421	hydroxymethylglutaryl-CoA synthase activity	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)
GO:0004422	hypoxanthine phosphoribosyltransferase activity	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
GO:0004427	inorganic diphosphatase activity	Inorganic pyrophosphatase (EC 3.6.1.1)
GO:0004452	isopentenyl-diphosphate delta-isomerase activity	Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)
GO:0004459	L-lactate dehydrogenase activity	L-lactate dehydrogenase (EC 1.1.1.27)
GO:0004467	long-chain-fatty-acid-CoA ligase activity	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
GO:0004478	methionine adenosyltransferase activity	S-adenosylmethionine synthetase (EC 2.5.1.6)
GO:0004479	methionyl-tRNA formyltransferase activity	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
GO:0004496	mevalonate kinase activity	Mevalonate kinase (EC 2.7.1.36)
GO:0004512	inositol-3-phosphate synthase activity	Inositol-1-phosphate synthase (EC 5.5.1.4)
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)
GO:0004516	nicotinate phosphoribosyltransferase activity	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
GO:0004518	nuclease activity	Excinuclease ABC subunit B
GO:0004518	nuclease activity	Excinuclease ABC subunit C
GO:0004523	ribonuclease H activity	Ribonuclease HI (EC 3.1.26.4)
GO:0004523	ribonuclease H activity	Ribonuclease HI (EC 3.1.26.4) / DNA polymerase III epsilon subunit (EC 2.7.7.7)
GO:0004523	ribonuclease H activity	Ribonuclease HII (EC 3.1.26.4)
GO:0004525	ribonuclease III activity	Ribonuclease D (EC 3.1.26.3)
GO:0004525	ribonuclease III activity	Ribonuclease III (EC 3.1.26.3)
GO:0004526	ribonuclease P activity	Ribonuclease P protein component (EC 3.1.26.5)
GO:0004557	alpha-galactosidase activity	Alpha-galactosidase (EC 3.2.1.22)
GO:0004558	alpha-glucosidase activity	Alpha-glucosidase (EC 3.2.1.20)
GO:0004558	alpha-glucosidase activity	Maltodextrin glucosidase (EC 3.2.1.20)
GO:0004560	alpha-L-fucosidase activity	Alpha-L-fucosidase (EC 3.2.1.51)
GO:0004563	beta-N-acetylhexosaminidase activity	Beta-hexosaminidase (EC 3.2.1.52)
GO:0004565	beta-galactosidase activity	Beta-galactosidase (EC 3.2.1.23)
GO:0004565	beta-galactosidase activity	Evolved beta-D-galactosidase, alpha subunit
GO:0004568	chitinase activity	Chitinase (EC 3.2.1.14)
GO:0004574	oligo-1,6-glucosidase activity	Oligo-1,6-glucosidase (EC 3.2.1.10)
GO:0004588	orotate phosphoribosyltransferase activity	Orotate phosphoribosyltransferase (EC 2.4.2.10)
GO:0004590	orotidine-5'-phosphate decarboxylase activity	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
GO:0004594	pantothenate kinase activity	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)
GO:0004595	pantetheine-phosphate adenylyltransferase activity	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
GO:0004605	phosphatidate cytidylyltransferase activity	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
GO:0004614	phosphoglucomutase activity	Phosphoglucomutase (EC 5.4.2.2)
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
GO:0004617	phosphoglycerate dehydrogenase activity	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
GO:0004618	phosphoglycerate kinase activity	Phosphoglycerate kinase (EC 2.7.2.3)
GO:0004619	phosphoglycerate mutase activity	Phosphoglycerate mutase (EC 5.4.2.1)
GO:0004634	phosphopyruvate hydratase activity	Enolase (EC 4.2.1.11)
GO:0004637	phosphoribosylamine-glycine ligase activity	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
GO:0004638	phosphoribosylaminoimidazole carboxylase activity	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)
GO:0004638	phosphoribosylaminoimidazole carboxylase activity	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
GO:0004640	phosphoribosylanthranilate isomerase activity	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
GO:0004642	phosphoribosylformylglycinamidine synthase activity	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)
